Date,SWE_SNODAS (mm),,,,
10/1/2003,0,10/1/2003,yes,10/1/2003,0
11/1/2003,0,11/1/2003,yes,11/1/2003,0
12/1/2003,2.9171875,12/1/2003,yes,12/1/2003,2.9171875
1/1/2004,37.34739583,1/1/2004,yes,1/1/2004,37.34739583
2/1/2004,36.06901042,2/1/2004,yes,2/1/2004,36.06901042
3/1/2004,48.296875,3/1/2004,yes,3/1/2004,48.296875
4/1/2004,42.884375,4/1/2004,yes,4/1/2004,42.884375
5/1/2004,35.29505208,5/1/2004,yes,5/1/2004,35.29505208
6/1/2004,12.60859375,6/1/2004,yes,6/1/2004,12.60859375
7/1/2004,0.932291667,7/1/2004,yes,7/1/2004,0.932291667
8/1/2004,0,8/1/2004,yes,8/1/2004,0
9/1/2004,0,9/1/2004,yes,9/1/2004,0
10/1/2004,0,10/1/2004,yes,10/1/2004,0
11/1/2004,20.2140625,11/1/2004,yes,11/1/2004,20.2140625
12/1/2004,23.89895833,12/1/2004,yes,12/1/2004,23.89895833
1/1/2005,58.48854167,1/1/2005,yes,1/1/2005,58.48854167
2/1/2005,86.88723958,2/1/2005,yes,2/1/2005,86.88723958
3/1/2005,143.1770833,3/1/2005,yes,3/1/2005,143.1770833
4/1/2005,104.7427083,4/1/2005,yes,4/1/2005,104.7427083
5/1/2005,78.19921875,5/1/2005,yes,5/1/2005,78.19921875
6/1/2005,41.2265625,6/1/2005,yes,6/1/2005,41.2265625
7/1/2005,13.05911458,7/1/2005,yes,7/1/2005,13.05911458
9/1/2005,0,8/1/2005,no,8/3/2005,0.121125293
10/1/2005,0,9/1/2005,yes,9/1/2005,0
11/1/2005,0.23203125,10/1/2005,yes,10/1/2005,0
12/1/2005,0.570052083,11/1/2005,yes,11/1/2005,0.23203125
1/1/2006,40.871875,12/1/2005,yes,12/1/2005,0.570052083
2/1/2006,62.046875,1/1/2006,yes,1/1/2006,40.871875
3/1/2006,64.55729167,2/1/2006,yes,2/1/2006,62.046875
4/1/2006,77.27005208,3/1/2006,yes,3/1/2006,64.55729167
5/1/2006,64.08072917,4/1/2006,yes,4/1/2006,77.27005208
6/1/2006,33.78828125,5/1/2006,yes,5/1/2006,64.08072917
7/1/2006,2.861458333,6/1/2006,yes,6/1/2006,33.78828125
8/1/2006,0,7/1/2006,yes,7/1/2006,2.861458333
9/1/2006,0,8/1/2006,yes,8/1/2006,0
11/1/2006,0,9/1/2006,yes,9/1/2006,0
12/1/2006,0.015104167,10/1/2006,no,10/2/2006,0
1/1/2007,15.74765625,11/1/2006,yes,11/1/2006,0
2/1/2007,19.41145833,12/1/2006,yes,12/1/2006,0.015104167
3/1/2007,55.25364583,1/1/2007,yes,1/1/2007,15.74765625
4/1/2007,35.6421875,2/1/2007,yes,2/1/2007,19.41145833
5/1/2007,17.52161458,3/1/2007,yes,3/1/2007,55.25364583
6/1/2007,2.471354167,4/1/2007,yes,4/1/2007,35.6421875
7/1/2007,0,5/1/2007,yes,5/1/2007,17.52161458
8/1/2007,0,6/1/2007,yes,6/1/2007,2.471354167
9/1/2007,0,7/1/2007,yes,7/1/2007,0
10/1/2007,0,8/1/2007,yes,8/1/2007,0
11/1/2007,0,9/1/2007,yes,9/1/2007,0
12/1/2007,0,10/1/2007,yes,10/1/2007,0
1/1/2008,16.3640625,11/1/2007,yes,11/1/2007,0
2/1/2008,97.8796875,12/1/2007,yes,12/1/2007,0
3/1/2008,91.08359375,1/1/2008,yes,1/1/2008,16.3640625
4/1/2008,57.10416667,2/1/2008,yes,2/1/2008,97.8796875
5/1/2008,35.00651042,3/1/2008,yes,3/1/2008,91.08359375
6/1/2008,13.4515625,4/1/2008,yes,4/1/2008,57.10416667
7/1/2008,0.39296875,5/1/2008,yes,5/1/2008,35.00651042
8/1/2008,0,6/1/2008,yes,6/1/2008,13.4515625
9/1/2008,0,7/1/2008,yes,7/1/2008,0.39296875
10/1/2008,0,8/1/2008,yes,8/1/2008,0
11/1/2008,0.252864583,9/1/2008,yes,9/1/2008,0
12/1/2008,6.645572917,10/1/2008,yes,10/1/2008,0
1/1/2009,28.62838542,11/1/2008,yes,11/1/2008,0.252864583
2/1/2009,34.78958333,12/1/2008,yes,12/1/2008,6.645572917
3/1/2009,52.27395833,1/1/2009,yes,1/1/2009,28.62838542
4/1/2009,67.12604167,2/1/2009,yes,2/1/2009,34.78958333
5/1/2009,48.30755208,3/1/2009,yes,3/1/2009,52.27395833
6/1/2009,6.260677083,4/1/2009,yes,4/1/2009,67.12604167
7/1/2009,0.47421875,5/1/2009,yes,5/1/2009,48.30755208
8/1/2009,0,6/1/2009,yes,6/1/2009,6.260677083
9/1/2009,0,7/1/2009,yes,7/1/2009,0.47421875
10/1/2009,0,8/1/2009,yes,8/1/2009,0
11/1/2009,1.739322917,9/1/2009,yes,9/1/2009,0
12/1/2009,10.33671875,10/1/2009,yes,10/1/2009,0
1/1/2010,39.39427083,11/1/2009,yes,11/1/2009,1.739322917
2/1/2010,89.29427083,12/1/2009,yes,12/1/2009,10.33671875
3/1/2010,105.1210938,1/1/2010,yes,1/1/2010,39.39427083
4/1/2010,86.10052083,2/1/2010,yes,2/1/2010,89.29427083
5/1/2010,79.06536458,3/1/2010,yes,3/1/2010,105.1210938
6/1/2010,59.8453125,4/1/2010,yes,4/1/2010,86.10052083
7/1/2010,4.896875,5/1/2010,yes,5/1/2010,79.06536458
8/1/2010,0,6/1/2010,yes,6/1/2010,59.8453125
9/1/2010,0,7/1/2010,yes,7/1/2010,4.896875
10/1/2010,0,8/1/2010,yes,8/1/2010,0
11/1/2010,0.708072917,9/1/2010,yes,9/1/2010,0
12/1/2010,19.03478485,10/1/2010,yes,10/1/2010,0
1/1/2011,110.1270291,11/1/2010,yes,11/1/2010,0.708072917
2/1/2011,84.19093017,12/1/2010,yes,12/1/2010,19.03478485
3/1/2011,99.2999227,1/1/2011,yes,1/1/2011,110.1270291
4/1/2011,123.3522288,2/1/2011,yes,2/1/2011,84.19093017
5/1/2011,115.8201494,3/1/2011,yes,3/1/2011,99.2999227
6/1/2011,83.35815511,4/1/2011,yes,4/1/2011,123.3522288
7/1/2011,33.05617109,5/1/2011,yes,5/1/2011,115.8201494
8/1/2011,2.373099717,6/1/2011,yes,6/1/2011,83.35815511
9/1/2011,0.040711157,7/1/2011,yes,7/1/2011,33.05617109
10/1/2011,0,8/1/2011,yes,8/1/2011,2.373099717
11/1/2011,0,9/1/2011,yes,9/1/2011,0.040711157
12/1/2011,3.326462252,10/1/2011,yes,10/1/2011,0
1/1/2012,3.218758052,11/1/2011,yes,11/1/2011,0
2/1/2012,20.51558877,12/1/2011,yes,12/1/2011,3.326462252
3/1/2012,27.23241433,1/1/2012,yes,1/1/2012,3.218758052
4/1/2012,29.94460191,2/1/2012,yes,2/1/2012,20.51558877
5/1/2012,17.64004123,3/1/2012,yes,3/1/2012,27.23241433
6/1/2012,1.435197114,4/1/2012,yes,4/1/2012,29.94460191
7/1/2012,0,5/1/2012,yes,5/1/2012,17.64004123
8/1/2012,0,6/1/2012,yes,6/1/2012,1.435197114
9/1/2012,0,7/1/2012,yes,7/1/2012,0
10/1/2012,0,8/1/2012,yes,8/1/2012,0
11/1/2012,0.075496006,9/1/2012,yes,9/1/2012,0
12/1/2012,11.53156403,10/1/2012,yes,10/1/2012,0
1/1/2013,75.92347333,11/1/2012,yes,11/1/2012,0.075496006
2/1/2013,66.85776862,12/1/2012,yes,12/1/2012,11.53156403
3/1/2013,66.86524092,1/1/2013,yes,1/1/2013,75.92347333
4/1/2013,47.0389075,2/1/2013,yes,2/1/2013,66.85776862
5/1/2013,26.14712703,3/1/2013,yes,3/1/2013,66.86524092
6/1/2013,7.405050245,4/1/2013,yes,4/1/2013,47.0389075
7/1/2013,0.08683329,5/1/2013,yes,5/1/2013,26.14712703
8/1/2013,0,6/1/2013,yes,6/1/2013,7.405050245
9/1/2013,0,7/1/2013,yes,7/1/2013,0.08683329
10/1/2013,0,8/1/2013,yes,8/1/2013,0
11/1/2013,2.504341164,9/1/2013,yes,9/1/2013,0
12/1/2013,9.581205312,10/1/2013,yes,10/1/2013,0
1/1/2014,12.4808478,11/1/2013,yes,11/1/2013,2.504341164
2/1/2014,21.05949949,12/1/2013,yes,12/1/2013,9.581205312
3/1/2014,34.04698672,1/1/2014,yes,1/1/2014,12.4808478
4/1/2014,41.83656793,2/1/2014,yes,2/1/2014,21.05949949
5/1/2014,26.23059244,3/1/2014,yes,3/1/2014,34.04698672
6/1/2014,1.504596527,4/1/2014,yes,4/1/2014,41.83656793
7/1/2014,0,5/1/2014,yes,5/1/2014,26.23059244
8/1/2014,0,6/1/2014,yes,6/1/2014,1.504596527
9/1/2014,0,7/1/2014,yes,7/1/2014,0
10/1/2014,2.857252298,8/1/2014,yes,8/1/2014,0
11/1/2014,0.091620394,9/1/2014,yes,9/1/2014,0
12/1/2014,0.31928319,10/1/2014,yes,10/1/2014,2.857252298
1/1/2015,13.10524987,11/1/2014,yes,11/1/2014,0.091620394
2/1/2015,20.82887431,12/1/2014,yes,12/1/2014,0.31928319
3/1/2015,31.67794043,1/1/2015,yes,1/1/2015,13.10524987
4/1/2015,20.50429076,2/1/2015,yes,2/1/2015,20.82887431
5/1/2015,22.35840485,3/1/2015,yes,3/1/2015,31.67794043
6/1/2015,12.99545684,4/1/2015,yes,4/1/2015,20.50429076
7/1/2015,0,5/1/2015,yes,5/1/2015,22.35840485
8/1/2015,0,6/1/2015,yes,6/1/2015,12.99545684
9/1/2015,0,7/1/2015,yes,7/1/2015,0
10/1/2015,0,8/1/2015,yes,8/1/2015,0
11/1/2015,0,9/1/2015,yes,9/1/2015,0
12/1/2015,14.06940939,10/1/2015,yes,10/1/2015,0
1/1/2016,28.68096921,11/1/2015,yes,11/1/2015,0
2/1/2016,57.0908632,12/1/2015,yes,12/1/2015,14.06940939
3/1/2016,37.62266532,1/1/2016,yes,1/1/2016,28.68096921
4/1/2016,56.33821302,2/1/2016,yes,2/1/2016,57.0908632
5/1/2016,47.78041393,3/1/2016,yes,3/1/2016,37.62266532
6/1/2016,20.38844018,4/1/2016,yes,4/1/2016,56.33821302
7/1/2016,0,5/1/2016,yes,5/1/2016,47.78041393
8/1/2016,0,6/1/2016,yes,6/1/2016,20.38844018
9/1/2016,0,7/1/2016,yes,7/1/2016,0
10/1/2016,0,8/1/2016,yes,8/1/2016,0
11/1/2016,5.254669359,9/1/2016,yes,9/1/2016,0
12/1/2016,9.535083291,10/1/2016,yes,10/1/2016,0
1/1/2017,28.7617365,11/1/2016,yes,11/1/2016,5.254669359
2/1/2017,165.3324079,12/1/2016,yes,12/1/2016,9.535083291
3/1/2017,180.0090863,1/1/2017,yes,1/1/2017,28.7617365
4/1/2017,142.4406865,2/1/2017,yes,2/1/2017,165.3324079
5/1/2017,137.4255427,3/1/2017,yes,3/1/2017,180.0090863
6/1/2017,77.83190308,4/1/2017,yes,4/1/2017,142.4406865
7/1/2017,16.33796063,5/1/2017,yes,5/1/2017,137.4255427
8/1/2017,0.031297325,6/1/2017,yes,6/1/2017,77.83190308
9/1/2017,0,7/1/2017,yes,7/1/2017,16.33796063
10/1/2017,0.005552751,8/1/2017,yes,8/1/2017,0.031297325
11/1/2017,0,9/1/2017,yes,9/1/2017,0
1/1/2018,11.37682988,10/1/2017,yes,10/1/2017,0.005552751
2/1/2018,26.36875315,11/1/2017,yes,11/1/2017,0
3/1/2018,33.34780414,12/1/2017,no,12/2/2017,11.51691065
4/1/2018,51.37809187,1/1/2018,yes,1/1/2018,11.37682988
5/1/2018,25.80338213,2/1/2018,yes,2/1/2018,26.36875315
6/1/2018,4.995204442,3/1/2018,yes,3/1/2018,33.34780414
7/1/2018,0,4/1/2018,yes,4/1/2018,51.37809187
8/1/2018,0,5/1/2018,yes,5/1/2018,25.80338213
9/1/2018,0,6/1/2018,yes,6/1/2018,4.995204442
10/1/2018,0,7/1/2018,yes,7/1/2018,0
12/1/2018,36.67264008,8/1/2018,yes,8/1/2018,0
1/1/2019,26.51817264,9/1/2018,yes,9/1/2018,0
2/1/2019,73.93008582,10/1/2018,yes,10/1/2018,0
3/1/2019,163.911156,11/1/2018,no,11/1/2018,0
4/1/2019,175.9268046,12/1/2018,yes,12/1/2018,36.67264008
5/1/2019,80.56007067,1/1/2019,yes,1/1/2019,26.51817264
6/1/2019,55.76299849,2/1/2019,yes,2/1/2019,73.93008582
7/1/2019,2.796819788,3/1/2019,yes,3/1/2019,163.911156
8/1/2019,0,4/1/2019,yes,4/1/2019,175.9268046
9/1/2019,0,5/1/2019,yes,5/1/2019,80.56007067
10/1/2019,0.071176174,6/1/2019,yes,6/1/2019,55.76299849
11/1/2019,0,7/1/2019,yes,7/1/2019,2.796819788
12/1/2019,17.92806663,8/1/2019,yes,8/1/2019,0
1/1/2020,35.54114084,9/1/2019,yes,9/1/2019,0
2/1/2020,23.40989399,10/1/2019,yes,10/1/2019,0.071176174
3/1/2020,22.74154467,11/1/2019,yes,11/1/2019,0
4/1/2020,34.76829884,12/1/2019,yes,12/1/2019,17.92806663
5/1/2020,27.04467441,1/1/2020,yes,1/1/2020,35.54114084
6/1/2020,0.901312468,2/1/2020,yes,2/1/2020,23.40989399
7/1/2020,0,3/1/2020,yes,3/1/2020,22.74154467
8/1/2020,0,4/1/2020,yes,4/1/2020,34.76829884
9/1/2020,0,5/1/2020,yes,5/1/2020,27.04467441
10/1/2020,0,6/1/2020,yes,6/1/2020,0.901312468
11/1/2020,0,7/1/2020,yes,7/1/2020,0
12/1/2020,4.877082282,8/1/2020,yes,8/1/2020,0
1/1/2021,23.49697123,9/1/2020,yes,9/1/2020,0
2/1/2021,56.44093892,10/1/2020,yes,10/1/2020,0
3/1/2021,51.15497224,11/1/2020,yes,11/1/2020,0
4/1/2021,40.56436143,12/1/2020,yes,12/1/2020,4.877082282
5/1/2021,17.19762746,1/1/2021,yes,1/1/2021,23.49697123
6/1/2021,0.279909137,2/1/2021,yes,2/1/2021,56.44093892
7/1/2021,0,3/1/2021,yes,3/1/2021,51.15497224
8/1/2021,0,4/1/2021,yes,4/1/2021,40.56436143
9/1/2021,0,5/1/2021,yes,5/1/2021,17.19762746
10/1/2021,0,6/1/2021,yes,6/1/2021,0.279909137
11/1/2021,9.91822312,7/1/2021,yes,7/1/2021,0
12/1/2021,15.41140838,8/1/2021,yes,8/1/2021,0
1/1/2022,120.7367491,9/1/2021,yes,9/1/2021,0
2/1/2022,96.7044422,10/1/2021,yes,10/1/2021,0
3/1/2022,70.5906108,11/1/2021,yes,11/1/2021,9.91822312
4/1/2022,50.13074205,12/1/2021,yes,12/1/2021,15.41140838
5/1/2022,46.86597678,1/1/2022,yes,1/1/2022,120.7367491
6/1/2022,6.908632004,2/1/2022,yes,2/1/2022,96.7044422
7/1/2022,0,3/1/2022,yes,3/1/2022,70.5906108
8/1/2022,0,4/1/2022,yes,4/1/2022,50.13074205
9/1/2022,0,5/1/2022,yes,5/1/2022,46.86597678
10/1/2022,0,6/1/2022,yes,6/1/2022,6.908632004
11/1/2022,0,7/1/2022,yes,7/1/2022,0
12/1/2022,23.20747097,8/1/2022,yes,8/1/2022,0
,,,,9/1/2022,0
,,,,10/1/2022,0
,,,,11/1/2022,0
,,,,12/1/2022,23.20747097
