Year,CAIN RANCH PRECIPITATION-Adjusted Mono Lake Precip (in),ERA5,CRUTS_Precip (in),CRUTS w/ Variance,Z-Score_CRUTS,Z_Wrapped_CRUTS,Average_CRUTS,STDEV_CRUTS
1901,,,25.80314961,8.195298925,0.080696614,8.485594381,25.18824496,7.619955973
1902,,,12.31299213,3.910710618,-1.689675489,3.91531753,Average_ERA5,STDEV_ERA5
1903,,,12.33267717,3.916962753,-1.687092136,3.921986546,8.27727328,2.581534607
1904,,,28.0738189,8.916482729,0.378686432,9.254865408,,
1905,,,16.62204724,5.27930303,-1.124179424,5.375165192,,
1906,,,38.6515748,12.27606762,1.766851395,12.8384613,,
1907,,,28.0226378,8.900227178,0.371969713,9.237525966,,
1908,,,15.75787402,5.004834292,-1.237588639,5.082395377,,
1909,,,43.67913386,13.87286297,2.42663986,14.54172806,,
1910,,,18.05019685,5.732895445,-0.936757133,5.859002322,,
1911,,,26.70866142,8.482897148,0.199530871,8.79236913,,
1912,,,14.93110236,4.74224461,-1.346089483,4.802296694,,
1913,,,31.4488189,9.988411323,0.821602377,10.39826825,,
1914,,,30.53248031,9.697374426,0.701347275,10.08782554,,
1915,,,24.8769685,7.90113596,-0.040850165,8.171817165,,
1916,,,33.06692913,10.50233684,1.033954028,10.94646139,,
1917,,,14.65846457,4.655652536,-1.381868928,4.709930818,,
1918,,,26.21751969,8.326906372,0.135076204,8.625977174,,
1919,,,19.68602362,6.252447887,-0.722080463,6.413197574,,
1920,,,22.13188976,7.029275695,-0.4010988,7.241822846,,
1921,,,20.17519685,6.407813448,-0.657884131,6.578922629,,
1922,,,27.52952756,8.743611189,0.307256709,9.070467108,,
1923,,,23.17814961,7.361576685,-0.263793565,7.596281061,,
1924,,,16.8011811,5.336197461,-1.100670908,5.43585324,,
1925,,,23.9753937,7.614788164,-0.159167752,7.86637622,,
1926,,,27.66338583,8.786125709,0.324823513,9.115816419,,
1927,,,22.66633858,7.199021168,-0.330960755,7.422886638,,
1928,,,13.85433071,4.40025281,-1.487398916,4.437501504,,
1929,,,16.90551181,5.369333778,-1.086979135,5.471199026,,
1930,,,19.78740157,6.284646383,-0.708776193,6.447543008,,
1931,7.068521027,,29.16535433,9.263163631,0.521933379,9.62466236,,
1932,7.859888213,,16.18897638,5.141756054,-1.181013199,5.228446834,,
1933,7.79073954,,21.44586614,6.811388781,-0.491128667,7.009407629,,
1934,5.193826721,,17.38188976,5.520635452,-1.024461982,5.63258922,,
1935,11.47866419,,23.47244094,7.455046108,-0.225172432,7.695982854,,
1936,9.811414978,,32.50492126,10.32383838,0.960199288,10.75606097,,
1937,10.27240497,,28.94783465,9.194077536,0.493387324,9.550969731,,
1938,14.49046953,,32.07283465,10.18660401,0.90349468,10.60967606,,
1939,5.347490134,,16.7992126,5.335572248,-1.100929243,5.435186338,,
1940,9.419572713,,31.8011811,10.10032454,0.867844403,10.51764364,,
1941,11.04840597,,31.7519685,10.08469421,0.861386019,10.5009711,,
1942,5.455054597,,18.95866142,6.021431488,-0.817535372,6.166777423,,
1943,8.835651408,,30.09251969,9.557639202,0.643609325,9.938773027,,
1944,6.922540894,,22.04232283,7.00082848,-0.412853058,7.211478822,,
1945,12.05490197,,32.4488189,10.3060198,0.952836731,10.73705427,,
1946,10.86400974,,29.24507874,9.288484779,0.53239596,9.651671876,,
1947,2.097506887,,11.78937008,3.744403819,-1.75839269,3.737921697,,
1948,5.147727613,,18.76771654,5.960785776,-0.842593901,6.102087965,,
1949,6.300204048,,18.52755906,5.884509725,-0.874110812,6.020725967,,
1950,10.10337541,4.437602112,28.33956693,9.000886556,0.413561703,9.344897128,,
1951,8.466859141,7.289449764,27.4261811,8.710787479,0.293694104,9.035454773,,
1952,11.12523792,13.69086024,30.39665354,9.654234692,0.683522136,10.04180933,,
1953,4.348677441,4.240320015,13.54330709,4.301469073,-1.5282159,4.332131047,,
1954,7.275966999,9.388309636,26.28051181,8.346913205,0.143342934,8.647318026,,
1955,13.18432786,8.491929028,30.91732283,9.819603671,0.751851834,10.21820481,,
1956,4.725153057,4.879584482,20.95964567,6.656961039,-0.554937497,6.844682927,,
1957,10.70266331,11.53643886,23.81003937,7.562270228,-0.180867921,7.810356484,,
1958,8.474542926,8.642076289,27.73523622,8.808946003,0.334252753,9.140158328,,
1959,6.699729068,6.649971558,16.90649606,5.369646385,-1.086849967,5.471532477,,
1960,6.97632292,7.800204551,21.28740157,6.761059092,-0.511924662,6.955722048,,
1961,5.032480003,6.836244805,16.56200787,5.260234018,-1.132058652,5.354824692,,
1962,10.01886106,8.426329149,28.62795276,9.092480338,0.451407831,9.442598216,,
1963,13.40714129,10.02803638,25.14665354,7.986790213,-0.005458223,8.263182688,,
1964,7.88293782,7.207217902,22.47047244,7.136812422,-0.356665121,7.356529926,,
1965,11.2097526,10.51822991,33.72637795,10.71178337,1.120496368,11.16987343,,
1966,8.366977711,5.101641895,18.83267717,5.981417822,-0.834068834,6.124095719,,
1967,8.874067585,11.87247925,28.89173228,9.17625895,0.486024766,9.531963034,,
1968,3.634142026,6.665635124,21.15354331,6.718544572,-0.529491465,6.910372738,,
1969,14.26765685,11.70686404,42.45374016,13.48366755,2.265826109,14.1265818,,
1970,8.274779704,7.734248231,26.2992126,8.352852734,0.14579712,8.653653591,,
1971,7.275966803,8.014133251,26.79133858,8.509156116,0.210380956,8.820378998,,
1972,4.840400374,5.935922362,18.21850394,5.786351202,-0.914669461,5.916022411,,
1973,11.81672334,8.753275905,29.33070866,9.315681567,0.543633548,9.680682097,,
1974,7.821472407,8.316620771,24.20374016,7.687312933,-0.129200852,7.943736809,,
1975,8.451493526,9.238001555,23.27066929,7.390961721,-0.251651804,7.627625438,,
1976,5.278341798,9.590860489,19.65452756,6.24244447,-0.726213829,6.402527148,,
1977,9.027730954,9.246568867,22.09153543,7.016458818,-0.406394675,7.228151363,,
1978,12.7848041,15.79902748,38.48326772,12.22261187,1.744763723,12.78144121,,
1979,9.726899974,7.797158033,24.49507874,7.779844535,-0.090967221,8.04243825,,
1980,11.64001082,9.043210417,31.06102362,9.865244258,0.770710314,10.26688863,,
1981,9.488721372,8.344150205,25.92322835,8.23343695,0.09645507,8.52627538,,
1982,15.59684606,12.67502878,41.01181102,13.02569864,2.076595471,13.63807635,,
1983,13.26116052,14.13976136,49.63287402,15.76382129,3.207975104,16.55877203,,
1984,5.378222776,8.849817237,20.24704724,6.430633742,-0.648454891,6.603264538,,
1985,6.622897119,8.310918976,24.04035433,7.635420211,-0.150642685,7.888383974,,
1986,10.04959356,7.20724158,27.03248031,8.585744773,0.242027035,8.902074447,,
1987,6.937907303,11.61961196,23.89074803,7.587903982,-0.170276171,7.83769945,,
1988,4.37940997,8.961733233,19.52559055,6.201492984,-0.743134794,6.358845092,,
1989,3.880003835,6.210173126,15.46358268,4.911364869,-1.276209773,4.982693584,,
1990,4.786618232,8.226751714,21.89173228,6.952999645,-0.432615712,7.160460848,,
1991,6.246421838,8.358726332,24.45472441,7.767027658,-0.096263096,8.028766766,,
1992,6.03897578,9.464982406,25.14566929,7.986477606,-0.005587391,8.262849238,,
1993,9.642385183,9.035368543,28.83169291,9.157189938,0.478145538,9.511622535,,
1994,5.862262941,6.382294226,24.78051181,7.870500497,-0.053508597,8.139138986,,
1995,13.26116147,10.49852217,40.53051181,12.87283393,2.01343248,13.47501891,,
1996,9.680800791,7.58584631,38.18799213,12.12882984,1.706013422,12.68140597,,
1997,6.215688812,6.623874882,21.36515748,6.785755026,-0.501720416,6.982064662,,
1998,9.196761039,15.97902876,46.90255906,14.89665012,2.849663984,15.63377947,,
1999,5.040163076,6.850031452,16.40944882,5.211779969,-1.152079641,5.303139816,,
2000,4.74051919,8.605371064,32.12204724,10.20223435,0.909953064,10.6263486,,
2001,6.645946569,9.000631456,28.65649606,9.101545934,0.455153693,9.45226829,,
2002,5.309073949,4.753525398,19.49704724,6.192427388,-0.746880656,6.349175018,,
2003,5.070896027,6.752296843,21.30807087,6.767623834,-0.509212141,6.962724515,,
2004,6.208005507,8.322313506,37.50492126,11.91188074,1.616371058,12.4499911,,
2005,10.05727617,10.31973435,30.8011811,9.782716072,0.736610049,10.17885761,,
2006,10.26472234,7.76813736,28.86712598,9.168443781,0.482795575,9.523626764,,
2007,2.328002076,5.596323756,15.7765748,5.01077382,-1.235134454,5.088730943,,
2008,5.87762875,5.912033304,20.41043307,6.482526465,-0.627013057,6.658617373,,
2009,7.314382932,6.418873432,26.43405512,8.395679861,0.163493091,8.699336353,,
2010,9.381156538,11.23153904,,,,,,
2011,5.040163373,5.356848378,,,,,,
2012,5.48578704,6.026566278,,,,,,
2013,2.65837875,4.328200753,,,,,,
2014,6.307887184,5.201481782,,,,,,
2015,7.44499736,8.152102063,,,,,,
2016,7.22218496,7.533872258,,,,,,
2017,11.59391174,7.473807793,,,,,,
2018,7.322066671,5.717464963,,,,,,
2019,4.98638084,11.03362829,,,,,,
2020,,3.574151274,,,,,,
2021,,6.682457168,,,,,,
